ID,Date,Price,Bedrooms,Bathrooms,Sqft Living,Sqft Lot,Floors,Waterfront,View,Condition,Grade,Sqft Above,Sqft Basement,Year Built,Year Renovated,ZipCode,Latitude,Longitude,Sqft Living 15,Sqft Lot 15,Median Price ID,Status,Month,Season,Median Price Season,Total Avarage Price,Sale Price,Profit,Renovation Sale Price,Profit Renovation
3810000860,06-05-2015,240000.0,4,1.5,1920,7973,1.0,0,0,3,8,1920,0,1955,0,98178,47.5,-122.2,2020,8840,278277.0,Buy,6,Summer,511177.0,394727.0,312000.0,72000.0,374400.0,134400.0
3348401490,30-06-2014,265000.0,2,2.0,1860,10856,1.0,0,0,3,8,1260,600,1952,0,98178,47.5,-122.3,1250,10008,278277.0,Buy,6,Summer,511177.0,394727.0,344500.0,79500.0,413400.0,148400.0
3992700036,26-06-2014,415000.0,3,1.0,1170,6700,1.0,0,0,3,8,1170,0,1957,0,98125,47.7,-122.3,2410,7620,425000.0,Buy,6,Summer,511177.0,468088.5,539500.0,124500.0,647400.0,232400.0
2926049449,18-06-2014,384400.0,3,3.2,1689,1388,3.0,0,0,3,8,1689,0,2008,0,98125,47.7,-122.3,1459,1384,425000.0,Buy,6,Summer,511177.0,468088.5,499720.0,115320.0,599664.0,215264.0
1787600165,23-06-2014,396500.0,3,1.8,2390,7149,1.0,0,0,3,8,1350,1040,1955,0,98125,47.7,-122.3,1710,7402,425000.0,Buy,6,Summer,511177.0,468088.5,515450.0,118950.0,618540.0,222040.0
820000012,27-08-2014,401000.0,3,3.2,1770,1977,3.0,0,0,3,8,1770,0,2001,0,98125,47.7,-122.3,1860,2210,425000.0,Buy,8,Summer,511177.0,468088.5,521300.0,120300.0,625560.0,224560.0
7508700085,24-07-2014,386500.0,3,2.2,2950,8036,1.5,0,0,3,8,1950,1000,1963,0,98125,47.7,-122.3,2060,7200,425000.0,Buy,7,Summer,511177.0,468088.5,502450.0,115950.0,602940.0,216440.0
9421500130,16-06-2014,378000.0,5,2.5,2760,8015,1.0,0,0,4,8,1600,1160,1960,0,98125,47.7,-122.3,460,18000,425000.0,Buy,6,Summer,511177.0,468088.5,491400.0,113400.0,589680.0,211680.0
9421500150,23-06-2014,403500.0,3,1.0,1830,8004,1.0,0,0,3,8,1200,630,1960,0,98125,47.7,-122.3,1860,7971,425000.0,Buy,6,Summer,511177.0,468088.5,524550.0,121050.0,629460.0,225960.0
6413100242,26-08-2014,400000.0,3,1.8,1730,9211,1.0,0,0,3,8,1730,0,1961,0,98125,47.7,-122.3,1440,9211,425000.0,Buy,8,Summer,511177.0,468088.5,520000.0,120000.0,624000.0,224000.0
